iter	Passed	Remaining
0	12	12213
1	19	9512
2	27	9072
3	34	8675
4	39	7851
5	44	7379
6	48	6900
7	52	6458
8	55	6165
9	59	5885
10	62	5617
11	67	5558
12	73	5613
13	77	5437
14	81	5354
15	86	5322
16	90	5252
17	95	5193
18	99	5121
19	103	5048
20	106	4974
21	110	4912
22	114	4869
23	119	4855
24	123	4827
25	128	4813
26	134	4832
27	138	4791
28	142	4773
29	147	4768
30	151	4726
31	155	4709
32	160	4694
33	164	4666
34	168	4658
35	174	4667
36	178	4650
37	182	4629
38	188	4646
39	192	4608
40	195	4582
41	200	4582
42	204	4543
43	207	4518
44	212	4506
45	215	4474
46	219	4447
47	223	4438
48	228	4440
49	233	4428
50	237	4424
51	241	4410
52	246	4407
53	251	4398
54	255	4385
55	259	4372
56	264	4377
57	269	4369
58	273	4369
59	279	4371
60	282	4354
61	286	4341
62	290	4326
63	294	4308
64	299	4307
65	303	4302
66	307	4286
67	311	4275
68	316	4268
69	321	4266
70	324	4241
71	328	4233
72	332	4223
73	337	4219
74	341	4217
75	359	4367
76	423	5075
77	429	5081
78	435	5074
79	448	5156
80	454	5161
81	458	5138
82	464	5126
83	469	5121
84	473	5095
85	477	5075
86	481	5056
87	486	5036
88	490	5021
89	495	5014
90	499	4993
91	503	4966
92	507	4953
93	511	4934
94	516	4918
95	521	4910
96	525	4889
97	529	4874
98	533	4859
99	537	4837
100	541	4818
101	545	4801
102	548	4779
103	553	4767
104	558	4761
105	562	4744
106	563	4704
107	585	4835
108	590	4823
109	595	4817
110	599	4799
111	604	4792
112	609	4781
113	620	4825
114	628	4837
115	632	4823
116	637	4814
117	644	4816
118	666	4936
119	671	4922
120	677	4920
121	679	4890
122	683	4875
123	688	4865
124	693	4852
125	697	4838
126	702	4827
127	706	4810
128	709	4792
129	714	4784
130	718	4765
131	722	4747
132	728	4745
133	731	4730
134	735	4715
135	740	4703
136	745	4694
137	753	4706
138	758	4697
139	762	4683
140	766	4671
141	771	4661
142	777	4657
143	781	4647
144	786	4636
145	790	4622
146	794	4612
147	799	4602
148	803	4589
149	809	4584
150	829	4666
151	835	4660
152	854	4728
153	860	4727
154	865	4718
155	870	4708
156	875	4701
157	879	4688
158	884	4676
159	888	4667
160	894	4661
161	899	4651
162	905	4650
163	910	4639
164	914	4628
165	920	4622
166	925	4614
167	929	4602
168	935	4599
169	940	4590
170	945	4583
171	952	4585
172	957	4578
173	962	4568
174	968	4563
175	974	4561
176	978	4551
177	988	4563
178	994	4559
179	999	4551
180	1004	4543
181	1009	4536
182	1013	4522
183	1018	4517
184	1022	4504
185	1027	4498
186	1034	4497
187	1038	4486
188	1043	4478
189	1048	4471
190	1058	4484
191	1067	4491
192	1072	4482
193	1077	4475
194	1081	4466
195	1086	4458
196	1090	4447
197	1094	4433
198	1099	4424
199	1103	4414
200	1107	4401
201	1114	4402
202	1117	4389
203	1122	4378
204	1126	4370
205	1131	4361
206	1136	4354
207	1141	4345
208	1145	4335
209	1149	4324
210	1153	4315
211	1158	4304
212	1162	4294
213	1168	4292
214	1172	4282
215	1176	4271
216	1182	4267
217	1186	4257
218	1190	4246
219	1195	4237
220	1199	4228
221	1203	4217
222	1208	4210
223	1211	4197
224	1217	4195
225	1222	4187
226	1230	4190
227	1234	4181
228	1240	4177
229	1245	4169
230	1251	4166
231	1255	4157
232	1260	4149
233	1264	4139
234	1269	4132
235	1273	4122
236	1277	4112
237	1283	4108
238	1286	4097
239	1291	4089
240	1296	4081
241	1300	4072
242	1304	4063
243	1309	4058
244	1313	4048
245	1319	4043
246	1324	4037
247	1328	4027
248	1332	4018
249	1336	4010
250	1341	4004
251	1346	3996
252	1350	3986
253	1353	3975
254	1357	3965
255	1362	3958
256	1365	3948
257	1369	3939
258	1373	3930
259	1377	3920
260	1381	3911
261	1385	3903
262	1390	3895
263	1394	3887
264	1399	3881
265	1403	3871
266	1407	3864
267	1412	3856
268	1415	3847
269	1419	3839
270	1424	3830
271	1428	3822
272	1433	3816
273	1437	3810
274	1442	3803
275	1446	3794
276	1450	3785
277	1455	3779
278	1459	3771
279	1464	3764
280	1467	3755
281	1471	3746
282	1477	3742
283	1480	3731
284	1483	3721
285	1488	3715
286	1492	3707
287	1496	3700
288	1501	3694
289	1506	3687
290	1510	3680
291	1515	3675
292	1520	3667
293	1524	3660
294	1528	3653
295	1532	3645
296	1536	3637
297	1541	3630
298	1545	3622
299	1550	3617
300	1555	3613
301	1561	3608
302	1564	3599
303	1570	3595
304	1574	3587
305	1578	3579
306	1582	3572
307	1586	3564
308	1590	3555
309	1594	3549
310	1599	3542
311	1603	3534
312	1607	3529
313	1612	3523
314	1616	3515
315	1620	3507
316	1624	3500
317	1631	3499
318	1637	3494
319	1641	3487
320	1645	3480
321	1652	3478
322	1657	3473
323	1661	3467
324	1666	3461
325	1671	3455
326	1677	3451
327	1682	3447
328	1686	3440
329	1691	3434
330	1696	3429
331	1701	3424
332	1706	3417
333	1712	3414
334	1716	3406
335	1756	3470
336	1772	3486
337	1777	3481
338	1802	3514
339	1813	3520
340	1819	3516
341	1826	3513
342	1840	3524
343	1845	3520
344	1850	3513
345	1856	3508
346	1862	3504
347	1868	3501
348	1874	3495
349	1880	3492
350	1885	3486
351	1890	3479
352	1895	3473
353	1901	3470
354	1907	3464
355	1911	3458
356	1915	3450
357	1920	3444
358	1925	3438
359	1930	3431
